X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
NaN	NaN	NaN	774.49	395.24	NaN	744.88	430.61	NaN	789.91	475.74	NaN	382.59	269.98	NaN	NaN	NaN	NaN
NaN	NaN	NaN	771.73	386.92	NaN	743.8	422.18	NaN	790.24	471.76	NaN	390.08	264.06	NaN	NaN	NaN	NaN
NaN	NaN	NaN	769.91	381.93	NaN	741.66	411.13	NaN	790.82	466.02	NaN	398.45	259.57	NaN	NaN	NaN	NaN
NaN	NaN	NaN	766.71	376.91	NaN	738.88	401.58	NaN	NaN	NaN	NaN	403.33	256.6	NaN	NaN	NaN	NaN
NaN	NaN	NaN	762.44	368.82	NaN	735.98	392.88	NaN	NaN	NaN	NaN	411.57	252.14	NaN	NaN	NaN	NaN
NaN	NaN	NaN	760.3	364.12	NaN	733.86	385.66	NaN	NaN	NaN	NaN	416.88	249.8	NaN	NaN	NaN	NaN
NaN	NaN	NaN	757.35	360.58	NaN	732.43	380.11	NaN	NaN	NaN	NaN	424.56	245.64	NaN	NaN	NaN	NaN
NaN	NaN	NaN	753.69	356.57	NaN	730.97	375.07	NaN	NaN	NaN	NaN	431.38	243.36	NaN	NaN	NaN	NaN
NaN	NaN	NaN	750.13	351.76	NaN	729.83	371.05	NaN	NaN	NaN	NaN	436.62	240.91	NaN	NaN	NaN	NaN
NaN	NaN	NaN	747.58	347.88	NaN	728.36	367.32	NaN	NaN	NaN	NaN	446.2	237.66	NaN	748.02	430.7	NaN
773.8	399.76	NaN	744.92	343.1	NaN	721.39	360.35	NaN	767.27	416.29	NaN	452.52	235.64	NaN	743.85	426.95	NaN
770.41	394.09	NaN	742.68	338.9	NaN	715.78	354.56	NaN	761.54	415	NaN	459.44	233.35	NaN	740.22	422.23	NaN
768.36	390.59	NaN	740.92	335.59	NaN	710.56	348.98	NaN	756.61	413.83	NaN	465.82	236.5	NaN	737.29	418.1	NaN
766.44	387.16	NaN	738.86	333.94	NaN	705.29	343.13	NaN	752.02	412.75	NaN	461.28	237.86	NaN	734.32	413.56	NaN
763.96	383.61	NaN	736.01	331.09	NaN	702.38	339.83	NaN	746.93	411.66	NaN	452.5	243.17	NaN	732.2	402.56	NaN
762.2	380.7	NaN	733.2	327.6	NaN	698.24	334.95	NaN	743.65	410.85	NaN	443.27	248.63	NaN	NaN	NaN	NaN
761	378.6	NaN	730.39	323.55	NaN	694.79	331.04	NaN	740.29	410.2	NaN	432.6	254.7	NaN	725.16	376.53	NaN
759.81	376.62	NaN	728.34	320.84	NaN	692.22	328.07	NaN	737.6	408.23	NaN	422.62	259.76	NaN	721.05	364.66	NaN
758.74	374.88	NaN	726.63	318.6	NaN	688.53	323.65	NaN	732.95	401.57	NaN	413.16	264.42	NaN	716.21	352.81	NaN
757.39	372.21	NaN	725.04	316.81	NaN	685.85	320.37	NaN	728.8	394.68	NaN	404.56	267.82	NaN	712.37	342.03	NaN
756.75	370.99	NaN	723.37	314.76	NaN	683.61	317.85	NaN	723.37	382.92	NaN	393.05	271.64	NaN	708.63	332.23	NaN
755.58	366.32	NaN	721.92	313.19	NaN	681.21	314.81	NaN	718.16	370.17	NaN	380.95	276.43	NaN	705.8	324.11	NaN
754.53	362.55	NaN	718.61	310.8	NaN	679.17	312.33	NaN	709.58	355.94	NaN	371.08	280.47	NaN	703.67	317.15	NaN
753.45	359.89	NaN	716.03	308.42	NaN	673.47	308.46	NaN	702.01	342.28	NaN	363.21	285.14	NaN	701.79	310.94	NaN
