X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
NaN	NaN	NaN	774.49	395.24	0.31121	744.88	430.61	0.78079	789.91	475.74	0.18673	382.59	269.98	1	NaN	NaN	NaN
NaN	NaN	NaN	771.73	386.92	0.31121	743.8	422.18	0.78079	790.24	471.76	0.18673	390.08	264.06	1	NaN	NaN	NaN
NaN	NaN	NaN	769.91	381.93	0.31121	741.66	411.13	0.78079	790.82	466.02	0.18673	398.45	259.57	1	NaN	NaN	NaN
NaN	NaN	NaN	766.71	376.91	0.31121	738.88	401.58	0.78079	NaN	NaN	NaN	403.33	256.6	1	NaN	NaN	NaN
NaN	NaN	NaN	762.44	368.82	0.31121	735.98	392.88	0.78079	NaN	NaN	NaN	411.57	252.14	1	NaN	NaN	NaN
NaN	NaN	NaN	760.3	364.12	0.31121	733.86	385.66	0.78079	NaN	NaN	NaN	416.88	249.8	1	NaN	NaN	NaN
NaN	NaN	NaN	757.35	360.58	0.31121	732.43	380.11	0.78079	NaN	NaN	NaN	424.56	245.64	1	NaN	NaN	NaN
NaN	NaN	NaN	753.69	356.57	0.31121	730.97	375.07	0.78079	NaN	NaN	NaN	431.38	243.36	1	NaN	NaN	NaN
NaN	NaN	NaN	750.13	351.76	0.31121	729.83	371.05	0.78079	NaN	NaN	NaN	436.62	240.91	1	NaN	NaN	NaN
NaN	NaN	NaN	747.58	347.88	0.31121	728.36	367.32	0.78079	NaN	NaN	NaN	446.2	237.66	1	748.02	430.7	0.3554
773.8	399.76	0.99976	744.92	343.1	0.31121	721.39	360.35	0.78079	767.27	416.29	0.22462	452.52	235.64	1	743.85	426.95	0.3554
770.41	394.09	0.99976	742.68	338.9	0.31121	715.78	354.56	0.78079	761.54	415	0.22462	459.44	233.35	1	740.22	422.23	0.3554
768.36	390.59	0.99976	740.92	335.59	0.31121	710.56	348.98	0.78079	756.61	413.83	0.22462	465.82	236.5	1	737.29	418.1	0.3554
766.44	387.16	0.99976	738.86	333.94	0.31121	705.29	343.13	0.78079	752.02	412.75	0.22462	461.28	237.86	1	734.32	413.56	0.3554
763.96	383.61	0.99976	736.01	331.09	0.31121	702.38	339.83	0.78079	746.93	411.66	0.22462	452.5	243.17	1	732.2	402.56	0.3554
762.2	380.7	0.99976	733.2	327.6	0.31121	698.24	334.95	0.78079	743.65	410.85	0.1975	443.27	248.63	1	729.28	389.43	-1
761	378.6	0.99976	730.39	323.55	0.31121	694.79	331.04	0.78079	740.29	410.2	0.66182	432.6	254.7	1	725.16	376.53	0.26493
759.81	376.62	0.99976	728.34	320.84	0.31121	692.22	328.07	0.78079	737.6	408.23	0.66182	422.62	259.76	1	721.05	364.66	0.26493
758.74	374.88	0.99976	726.63	318.6	0.31121	688.53	323.65	0.78079	732.95	401.57	0.66182	413.16	264.42	1	716.21	352.81	0.26493
757.39	372.21	0.99976	725.04	316.81	0.31121	685.85	320.37	0.78079	728.8	394.68	0.66182	404.56	267.82	1	712.37	342.03	0.26493
756.75	370.99	0.99976	723.37	314.76	0.31121	683.61	317.85	0.78079	723.37	382.92	0.66182	393.05	271.64	1	708.63	332.23	0.26493
755.58	366.32	0.99976	721.92	313.19	0.31121	681.21	314.81	0.78079	718.16	370.17	0.66182	380.95	276.43	1	705.8	324.11	0.26493
754.53	362.55	0.99976	718.61	310.8	0.31121	679.17	312.33	0.78079	709.58	355.94	0.66182	371.08	280.47	1	703.67	317.15	0.26493
753.45	359.89	0.99976	716.03	308.42	0.31121	673.47	308.46	0.78079	702.01	342.28	0.66182	363.21	285.14	1	701.79	310.94	0.26493
752.75	358.23	0.99976	711.75	308.13	-2	660.37	302.15	0.78079	695.24	331.48	0.66182	354.83	293.2	1	699	307	-2
751.94	356.78	0.99976	707.44	307.5	-2	647.74	298.66	0.99986	687.94	321.06	0.60117	346.9	300.23	1	696	304	-2
751.07	355.12	0.99976	703.12	303.32	-2	635.85	295.19	0.99986	682.61	312.92	0.60117	339.89	309.07	1	691	305	-2
750.21	353.82	0.99976	698.81	299.14	NaN	625.48	291.76	0.99986	677.91	305.43	0.60117	333.79	315.18	1	679	303	-2
749.35	352.61	0.99976	693.55	298.51	NaN	616.33	288.65	0.99986	673.74	298.28	0.60117	327.41	322.42	1	676	298	-2
748.34	351.39	0.99976	690.18	304.96	-2	600.46	288.46	0.99986	670.16	292.85	-2	320.84	331.4	1	673.17	293.67	-2
747.71	350.94	0.99976	685.87	304.32	NaN	579.64	289.32	0.99986	666.58	287.43	-2	314.55	338.88	1	668	291	-2
747.23	350.76	0.99976	681.68	304.95	NaN	560.58	288.75	0.99986	663	282	-2	308.97	346.8	1	659	289	-2
746.52	350.22	0.99976	677.58	305.79	0.92004	544.77	288.13	0.99986	658.17	277.94	0.98691	302.8	359.57	1	651.2	289.05	0.99756
745.62	348.82	0.99976	673.98	306.26	0.92004	531.95	288.13	0.99986	652.88	276.25	0.98691	296.86	368.86	1	632.16	290	0.99756
744.39	347.98	0.99976	670.4	307.19	0.92004	519.62	288.19	0.99986	648.91	275.02	0.98691	292.55	379.59	1	613.08	290.54	0.99756
742.78	347.6	0.99976	664.62	308.57	0.92004	508.43	288.17	0.99986	645.02	273.93	0.98691	288.49	389.68	1	594.44	290.47	0.99756
740.62	346.85	0.99976	659.19	309.93	0.92004	499.38	288.08	0.99986	640.98	273.09	0.98691	284	398.86	1	575.31	290.09	0.99756
735.79	345.33	0.99976	651.57	311.12	0.92004	490.55	288.09	0.99986	636.63	272.07	0.98691	280.43	407.63	1	558.41	289.61	0.99756
732.17	343.53	0.99976	642.37	309.97	0.92004	473.11	294.36	0.99986	625.59	273.09	0.98691	277.87	418.19	1	541.5	288.79	0.99756
728.05	340.14	0.99976	631.48	308.98	0.92004	455.38	304.02	0.99986	606.44	274.66	0.98691	275.04	426.88	1	526.16	287.68	0.99756
721.35	333.25	0.99976	621.95	308.85	0.92004	441.53	312.2	0.99986	582.7	275.83	0.98691	272.65	436.55	1	513.23	286.87	0.99756
715.26	327.33	0.99976	612.07	309.93	0.92004	429.07	320	0.99986	558.51	279.12	0.98691	271.28	448.82	1	500.35	287.12	0.99756
